#time;posL;posR;velL;velR
0:00:00.010718;-24327.0;5799.0;1.0;3.0
0:00:00.107306;-24309.0;5841.0;13.0;22.0
0:00:00.210155;-24132.0;6151.0;40.0;31.0
0:00:00.308040;-23648.0;6658.0;72.0;61.0
0:00:00.410234;-22702.0;7462.0;99.0;97.0
0:00:00.507948;-21438.0;8664.0;125.0;143.0
0:00:00.610103;-19789.0;10549.0;158.0;190.0
0:00:00.707587;-17726.0;13027.0;203.0;229.0
0:00:00.810414;-15127.0;15999.0;218.0;243.0
0:00:00.907671;-12286.0;19044.0;246.0;241.0
0:00:01.010058;-9110.0;22164.0;264.0;225.0
0:00:01.108108;-5710.0;25066.0;272.0;216.0
0:00:01.210559;-2128.0;27918.0;265.0;229.0
0:00:01.308341;1246.0;30837.0;286.0;258.0
0:00:01.410622;4885.0;-31397.0;283.0;269.0
0:00:01.508356;8399.0;-28024.0;285.0;290.0
0:00:01.610736;12134.0;-24209.0;307.0;313.0
0:00:01.708596;16000.0;-20268.0;307.0;332.0
0:00:01.810357;19984.0;-15964.0;328.0;332.0
0:00:01.908127;24166.0;-11752.0;340.0;332.0
0:00:02.010648;28558.0;-7444.0;359.0;332.0
0:00:02.108554;-32407.0;-3242.0;358.0;333.0
0:00:02.210980;-27758.0;1060.0;348.0;341.0
0:00:02.308804;-23323.0;5375.0;348.0;344.0
0:00:02.411063;-18807.0;9840.0;347.0;352.0
0:00:02.508705;-14398.0;14319.0;344.0;352.0
0:00:02.610703;-9951.0;18868.0;334.0;342.0
0:00:02.710394;-5697.0;23262.0;336.0;341.0
0:00:02.810752;-1358.0;27657.0;337.0;335.0
0:00:02.908655;2921.0;31882.0;341.0;333.0
0:00:03.011356;7332.0;-29335.0;338.0;327.0
0:00:03.108611;11631.0;-25205.0;322.0;318.0
0:00:03.211528;15788.0;-21076.0;298.0;300.0
0:00:03.308762;19562.0;-17291.0;287.0;286.0
0:00:03.411557;23312.0;-13568.0;266.0;272.0
0:00:03.508991;26690.0;-10118.0;244.0;257.0
0:00:03.611656;29837.0;-6782.0;232.0;254.0
0:00:03.708919;-32759.0;-3524.0;209.0;237.0
0:00:03.811575;-30015.0;-452.0;215.0;221.0
0:00:03.909034;-27305.0;2343.0;202.0;214.0
0:00:04.011830;-24706.0;5091.0;193.0;201.0
0:00:04.109089;-22270.0;7664.0;173.0;183.0
0:00:04.211467;-20035.0;10052.0;150.0;164.0
0:00:04.309140;-18113.0;12157.0;130.0;143.0
0:00:04.412137;-16392.0;13993.0;107.0;117.0
0:00:04.509304;-14999.0;15534.0;90.0;95.0
0:00:04.612103;-13818.0;16746.0;69.0;67.0
0:00:04.709330;-12954.0;17601.0;45.0;45.0
0:00:04.812119;-12377.0;18213.0;14.0;18.0
0:00:04.909839;-12166.0;18487.0;-2.0;-5.0
0:00:05.011831;-12199.0;18445.0;-2.0;-1.0
0:00:05.109471;-12231.0;18445.0;0.0;0.0
0:00:05.212323;-12231.0;18445.0;0.0;0.0
0:00:05.309913;-12231.0;18448.0;0.0;0.0
0:00:05.411925;-12231.0;18446.0;0.0;0.0
0:00:05.509770;-12231.0;18447.0;0.0;0.0
0:00:05.612376;-12231.0;18446.0;0.0;0.0
0:00:05.709744;-12231.0;18446.0;0.0;0.0
0:00:05.812121;-12231.0;18446.0;0.0;0.0
0:00:05.909823;-12231.0;18446.0;0.0;0.0
0:00:06.012692;-12231.0;18446.0;0.0;0.0
0:00:06.109912;-12231.0;18446.0;0.0;0.0
